priority,url,source,what_to_verify,as_published_in_the_report,checked_2026_09_01
P1,https://greatlakesandland.com/residentialeup.php,"listing — Private island cottage, Snows Channel — $1.0M (Les Cheneaux Islands) | listing — Cedarville historic cottage — $799K (Les Cheneaux Islands) | listing — Hessel turnkey waterfront — $579K (Les Cheneaux Islands)","Confirm still active, and confirm price/cabin count/frontage. A recommendation rests on this.","Own private island, 575 ft of waterfront, 3BR historic cottage, 3-stall boathouse, turret, gazebo · asking $1,000,000",
P1,https://northernmichiganescapes.com/lake-charlevoix-real-estate-the-definitive-2026-guide-to-waterfront-living,listing — South Arm estate parcel — 3.4 ac / 277 ft (Lake Charlevoix) | Lake Charlevoix frontage pricing 2026,"Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.",3.4 ac with 277 ft of South Arm frontage · price not established,
P1,https://brickcorbett.com/neighborhoods/torch-lake,listing — Torch Lake estate parcel — 7.5 ac (Torch Lake) | listing — Torch–Elk estate parcel — 7.5 ac (Elk Lake),"Confirm this property exists, is still listed, and get price + acreage + frontage. I could not establish these.",Rare 7.5-ac estate parcel between Torch and Elk Lakes · price not established,
P2,https://www.michigan.gov/egle/about/organization/water-resources/inland-lakes-and-streams/permits,EGLE Part 301 permits,"Confirm scope: bottomlands work, and creating/altering a pond within 500 ft of an inland lake.",Cited as the limit of Michigan state-level regulation.,
P2,https://www.legislature.mi.gov/Laws/MCL?objectName=mcl-324-80209,MCL 324.80209 (Michigan speed),Confirm: no wake-generating speed within 100 ft of shore or in under 3 ft of water.,Cited in the compound-math table.,
P2,https://mymlsa.org/critical-boat-wake-legislation-introduced-in-michigan-house/,MLSA on Michigan HB 5532,"Confirm: 500 ft / 20 ft depth proposal, died in committee.",Cited in the wake-boat row.,
P2,https://mymlsa.org/regulating-keyhole-development/,MLSA on keyhole/funnel ordinances,Confirm that townships regulate back-lot lake access this way.,Cited as a Michigan density risk.,
P2,https://michiganwhitetailproperties.com/blog/michigan-land-prices-per-acre-2026michigan-land-prices-per-acre-in-2026-county-by-county-breakdown/,Michigan land prices per acre 2026,"Confirm: Cheboygan $12–17K/ac, Antrim $18–28K/ac, Kalkaska $12–16K, Otsego $10–14K.",The Cheboygan-vs-Antrim spread is the basis of the Michigan value argument.,
P2,https://midwestweekends.com/plan-a-trip/stay/lodges-resorts/Wisconsin-historic-lodges/,Midwest Weekends — historic WI lodges,"Confirm the quoted trend: owners selling, buyers demolishing cabins to build one house.",Supports the resort-arbitrage thesis.,
P2,https://www.lakehomes.com/wisconsin/round-lake-hayward,Round Lake (Sawyer Co.) inventory,"Confirm 12391 W Moreland Rd is still pending, and whether anything else has come live.",Round Lake's Tier 1 case now rests on off-market activity.,
P2,https://www.tptoriginals.org/mom-and-pop-resorts-in-minnesota-are-disappearing/,TPT — mom-and-pop resorts disappearing,Regional corroboration for the resort-decline trend (Minnesota data).,Cited indirectly as supporting context.,
P2,https://www.wwcoalition.org/wake-surfing-bans/local-state-laws/wi-wake-surfing-law,WI local wake-surfing ordinances,"Confirm: 80+ local ordinances, 37 passed in 2025.",Cited as the reason to check township rules per lake.,
P2,https://www.wxpr.org/business-economics/2026-06-19/as-visitor-spending-sets-more-records-in-the-northwoods-those-in-the-industry-look-for-new-opportunities,WXPR — Northwoods visitor spending records 2025,"Confirm: Vilas and Oneida each over $400M visitor impact in 2025; Vilas tourism supports 2,147 jobs.",Newly added as the counterweight to the resort-decline story.,
P2,https://law.justia.com/codes/wisconsin/chapter-30/section-30-66/,Wis. Stat. 30.66 speed restrictions,Confirm: slow-no-wake within 100 ft of shore/dock/raft; 200 ft for PWC; water-ski pick-up exemption.,Cited in the compound-math table.,
P2,https://wisconsinlakes.org/wake-bills-fail-to-move-in-wi-legislature/,Wisconsin Lakes — 2025 wake bills,"Confirm: no statewide rule; competing bills at 200 ft, 500 ft/20 ft, 700 ft/30 ft.",Cited in the wake-boat row of the compound-math table.,
P2,https://www.wjfw.com/news/regional/wisconsin-has-seen-vacation-home-purchases-fall-50-0-since-2021/article_712e673f-ee2a-58be-a379-d0f3bdfebcab.html,Wisconsin vacation-home purchases down 50% since 2021,Confirm: vacation-home share of mortgage originations 4.9% (2021) to 2.6% (2025).,Newly added to the playbook as the market-timing argument.,
P2,https://www.lakeplace.com/forsale/wi-county/oneida/,"listing — 11400 Santo Rd, Arbor Vitae — $3.25M (Big Arbor Vitae Lake)",Confirm still active and that price/detail match.,"34.5 ac; multiple year-round dwellings and cottages, rental-capable · asking $3,250,000",
P2,https://realmo.com/resorts/for-sale/mi/,"listing — 127 & 128 Oneida Dr, Houghton Lake — $1.5M () | listing — 8928 N Boot Lake Rd, Manistique — $650K (Boot Lake (Manistique)) | listing — Free Soil seven-cabin resort — $565K (Free Soil, MI) | listing — Houghton Lake cabin resort — $1.19M (Houghton Lake) | listing — Lupton lakefront resort — $950K (Lupton, MI) | listing — Rockwell Lake Lodge, Luther — $6.2M (Rockwell Lake (private))",Confirm still active and that price/detail match.,"Turnkey waterfront hospitality: log cabins, owner's home, sandy shoreline · asking $1,500,000",
P2,https://www.lakehomes.com/michigan/crystal-lake-beulah,"listing — 3151 Crystal Dr, Beulah — $1.9M (Crystal Lake) | listing — 4354 Crystal Dr, Beulah — $1.2M (Crystal Lake)",Confirm still active and that price/detail match.,"4BR/3.5BA, 2,750 sf on 0.72 ac · asking $1,900,000",
P2,https://www.lakehouse.com/torch-lake-antrim-county-michigan-lake-homes-for-sale-b1825.html,"listing — 3285 S East Torch Lake Dr, Bellaire — $999K (Torch/Elk corridor)",Confirm still active and that price/detail match.,"14+ ac, 4BR/3BA between Torch and Elk · asking $999,000",
P2,https://www.lakehouse.com/49945-n-lake-owen-dr-cable-wisconsin-54821-p7237649.html,"listing — 49945 N Lake Owen Dr, Cable — $3.0M (Lake Owen)",Confirm still active and that price/detail match.,"5.31 ac, 350 ft of frontage, 4BR/3BA, 3,735 sf · asking $3,000,000",
P2,https://www.lakehomes.com/michigan/walloon-lake,"listing — 651 South Shore Dr, Walloon — $7.7M (Walloon Lake)",Confirm still active and that price/detail match.,"1.53 ac on the lake Hemingway wrote about · asking $7,700,000",
P2,https://www.lakehomes.com/michigan/glen-lake,"listing — 7953 S Glen Lake Rd, Glen Arbor — $2.995M (Big Glen Lake)",Confirm still active and that price/detail match.,"6BR/6.5BA, 4,854 sf on 0.58 ac inside Sleeping Bear · asking $2,995,000",
P2,https://www.goldbarrealty.com/lakehomes/milliondollar,"listing — Chain Lake, Sugar Camp — $1.499M (Sugar Camp Chain) | listing — High Lake 5BR — $1.025M (High & Fishtrap Lakes)",Confirm still active and that price/detail match.,"201 ft of frontage on the five-lake Sugar Camp chain · asking $1,499,000",
P2,https://www.lakeplace.com/forsale/lake/namekagon/,listing — Lake Namakagon inventory — $225K–$750K (Lake Namakagon),Confirm still active and that price/detail match.,"Multiple lots and homes across the range, Cable WI · asking $750,000",
P2,https://www.lakeplace.com/forsale/wi/minocqua/,"listing — Legacy lakefront estate, Lake Tomahawk — $3.3M (Lake Tomahawk)",Confirm still active and that price/detail match.,"1.45 ac, 338 ft frontage; maintained main home, furnished cabins, multiple docks · asking $3,300,000",
P2,https://www.commercialzip.com/wi/resorts/,listing — Pelican Lake resort — $724.9K (Pelican Lake),Confirm still active and that price/detail match.,"~9 ac with 204 ft of frontage; cabin cluster · asking $724,900",
P2,https://www.goldbarrealty.com/lakehomes/millionfive,"listing — Phelps 6.95-ac, 500-ft frontage — $3.15M (North Twin Lake) | listing — Phelps Class-A assemblage — $5.249M (North Twin Lake)",Confirm still active and that price/detail match.,"6.95 ac with 500 ft of ripple-sand frontage · asking $3,150,000",
P2,https://www.land.com/Kalkaska-County-MI/Lakefront-Property/,market page — Arbutus / Spider Lakes chain,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.lakeplace.com/forsale/wi/land-o-lakes/,market page — Black Oak Lake,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.eliasonrealty.com/cisco-chain/,market page — Cisco Chain of Lakes,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.lakehouse.com/elk-lake-antrim-county-michigan-lake-homes-for-sale-b3736.html,market page — Elk Lake,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.redfin.com/county/1418/MI/Presque-Isle-County/waterfront,market page — Grand Lake,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.redfin.com/county/1419/MI/Roscommon-County/waterfront,market page — Higgins Lake,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.redfin.com/county/1362/MI/Charlevoix-County/waterfront,market page — Lake Bellaire,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.brookwalsh.com/lake-charlevoix-realestate.php,market page — Lake Charlevoix,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.landsearch.com/lakefront/northern-michigan-mi,market page — Lake Leelanau (N & S),Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.land.com/Otsego-County-MI/lakefront-property/,market page — Lake Margrethe,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.lakeplace.com/forsale/wi-county/bayfield/,market page — Lake Namakagon,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.zillow.com/cable-wi/lake-owen_att/,market page — Lake Owen,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.lakeplace.com/forsale/wi/eagle-river/,market page — Long Lake (Phelps),Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.lakeplace.com/forsale/wi/hayward/,market page — Nelson Lake,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.lakeplace.com/forsale/wi/northern/,market page — Pike Lake Chain,Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.goldbarrealty.com/lakes/troutlake,market page — Trout Lake (the archetype),Snapshot of current inventory; check what is actually listed now.,Used for market depth and price-range claims.,
P2,https://www.vrbo.com/4732042,rental (Midwest) — 5RK Ranch Lakeside — whole-peninsula buyout [VRBO (Lodge only)],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",11 BR / sleeps 26 · rates on request · Reservations@5RKRanchLakeside.com · buyout,
P2,https://5rkranchlakeside.com/,rental (Midwest) — 5RK Ranch Lakeside — whole-peninsula buyout [book direct],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",11 BR / sleeps 26 · rates on request · Reservations@5RKRanchLakeside.com · buyout,
P2,https://www.chimneycornersresort.com/,rental (Midwest) — Chimney Corners Resort — Woodsmere cottage (9 BR) [book direct],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","9 BR / sleeps 18 · $3,885/wk · buyout",
P2,https://www.rentbyowner.com/property/dancing-water-retreat-lake-front-cabin-grindstone-lake-hayward-w-dock/HA-3212141509,rental (Midwest) — Dancing Water Retreat — Northwoods Beach [VRBO (via RentByOwner)],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","7 BR / sleeps 16 · $3,715/wk · single",
P2,https://www.vrbo.com/274728ha,"rental (Midwest) — Elk Lake Estate — 198 ft of frontage, sleeps 22 [VRBO]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",6 BR / sleeps 22 · rate on request · single,
P2,https://elklakeretreat.com/,"rental (Midwest) — Elk Lake Retreat — five-cabin buyout, sleeps 30 [book direct]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",? BR / sleeps 30 · rate on request · 231-883-6009 · buyout,
P2,https://www.vrbo.com/vacation-rentals/usa/wisconsin/wi-north-west/hayward/lac-courte-oreilles,"rental (Midwest) — Hayward Lakefront — gorgeous cabin, up to 21 guests [VRBO (LCO listings)]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","? BR / sleeps 21 · $1,685/wk · single",
P2,https://www.vacationrenter.com/p/402281532,rental (Midwest) — Large Turtle Flambeau Flowage House — Mercer [VRBO (via VacationRenter)],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","7 BR / sleeps 18 · $4,950/wk · single",
P2,http://www.flambeaulodging.com/,rental (Midwest) — Large Turtle Flambeau Flowage House — Mercer [book direct],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","7 BR / sleeps 18 · $4,950/wk · single",
P2,https://www.vrbo.com/993215,rental (Midwest) — Majestic Retreat + neighbour cabin — book together for 24 [VRBO],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",8 BR / sleeps 24 · combined rate on request · buyout,
P2,https://www.vrbo.com/2371320,"rental (Midwest) — Noble Spirit — 7 BR, Kewadin [VRBO]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","7 BR / sleeps 18 · $13,200/wk · single",
P2,https://www.vrbo.com/2240917,"rental (Midwest) — Quiet Spirit — 8 BR lodge, Kewadin (northeast shore) [VRBO]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","8 BR / sleeps 19 · $14,300/wk · single",
P2,https://www.byowner.com/vacation-rentals/house/quiet-spirit-at-torch-lake-exquisitely-designed-and-decorated-1602867,"rental (Midwest) — Quiet Spirit — 8 BR lodge, Kewadin (northeast shore) [book direct]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","8 BR / sleeps 19 · $14,300/wk · single",
P2,https://www.vrbo.com/2322802,rental (Midwest) — Torch Lake sandbar — no 7+ BR rental found [VRBO],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",4 BR / sleeps 8 · largest found: 4 BR · single,
P2,https://www.adkbyowner.com/listings/VR13038.html,"rental (Northeast) — Bluff Point Camp — boat-access, sleeps 18 [Adirondack by Owner]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","6 BR / sleeps 18 · $4,500/wk · single",
P2,https://www.adkbyowner.com/listings/VR12682.html,"rental (Northeast) — Camp Garçon — historic Great Camp, 7 BR but capped at 10 [Adirondack by Owner]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","7 BR / sleeps 10 · $4,545/wk · single",
P2,https://adkcamps.com/en/camp-garcon---historic-great-camp-in-raquette-lake,"rental (Northeast) — Camp Garçon — historic Great Camp, 7 BR but capped at 10 [book direct]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","7 BR / sleeps 10 · $4,545/wk · single",
P2,https://www.covewoodlodge.com/,rental (Northeast) — Covewood Lodge — Great Camp inn with 18 cottages [book direct],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","? BR / sleeps 30 · $2,330/wk · buyout",
P2,https://www.rentbyowner.com/property/echo-lake-camp-with-dock-and-boat/AB-21434874,rental (Northeast) — Echo Lake — no group rental found [Airbnb (via RentByOwner)],"Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",2 BR / sleeps 6 · largest found: 2 BR · single,
P2,https://www.vacationcottage.com/location/usa/maine/parker-pond,"rental (Northeast) — Lake Front Life — sleeps 16, dock for 16+, theatre room [VacationCottage (Parker Pond listings)]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.","? BR / sleeps 16 · $8,500/wk · single",
P2,https://www.vrbo.com/3350220,"rental (Northeast) — Largest private rental on Seymour — 5 BR, sleeps 9 [VRBO]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",5 BR / sleeps 9 · largest found: 5 BR / sleeps 9 · single,
P2,https://www.quisisanaresort.com/,"rental (Northeast) — Quisisana — 42 cottages, full American plan, music every night [book direct]","Confirm bedrooms, dock/waterfront, July–August 2026 availability and the weekly rate; ask for the off-platform rate if this is the platform listing.",? BR / sleeps 60 · full American plan; group terms on request · buyout,
